Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
APRN,Blue Apron Holdings Inc. Class A,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,Bradley J. Dickerson,cs
BCRH,Blue Capital Reinsurance Holdings Ltd.,New York Stock Exchange,Financial Services,Insurance - Specialty,Michael J. McGuire,cs
BXG,Bluegreen Vacations Corporation,New York Stock Exchange,Consumer Cyclical,Travel & Leisure,Shawn B. Pearson,cs
BXC,Bluelinx Holdings Inc.,New York Stock Exchange,Basic Materials,Building Materials,Mitchell B. Lewis,cs
BWP,Boardwalk Pipeline Partners LP,New York Stock Exchange,Energy,Oil & Gas - Midstream,Stanley C. Horton,cs
BA,The Boeing Company,New York Stock Exchange,Industrials,Aerospace & Defense,Dennis A. Muilenburg,cs
BCC,Boise Cascade L.L.C.,New York Stock Exchange,Basic Materials,Forest Products,Thomas K. Corrick,cs
BCEI,Bonanza Creek Energy Inc.,New York Stock Exchange,Energy,Oil & Gas - E&P,Eric Greager,cs
BOOT,Boot Barn Holdings Inc.,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,James G. Conroy,cs
BAH,Booz Allen Hamilton Holding Corporation,New York Stock Exchange,Industrials,Business Services,Horacio Rozanski,cs
BWA,BorgWarner Inc.,New York Stock Exchange,Consumer Cyclical,Autos,James R. Verrier,cs
SAM,Boston Beer Company Inc. (The),New York Stock Exchange,Consumer Defensive,Beverages - Alcoholic,Martin F. Roper,cs
BXP,Boston Properties Inc.,New York Stock Exchange,Real Estate,REITs,Owen D. Thomas,cs
BSX,Boston Scientific Corporation,New York Stock Exchange,Healthcare,Medical Devices,Michael F. Mahoney,cs
BOX,Box Inc. Class A,New York Stock Exchange,Technology,Application Software,Aaron Levie,cs
BYD,Boyd Gaming Corporation,New York Stock Exchange,Consumer Cyclical,Travel & Leisure,Keith E. Smith,cs
BPMP,BP Midstream Partners LP representing Limited Partner Interests,New York Stock Exchange,Energy,Oil & Gas - Midstream,Robert P. Zinsmeister,cs
BP,BP p.l.c.,New York Stock Exchange,Energy,Oil & Gas - Integrated,Robert W. Dudley,cs
BPT,BP Prudhoe Bay Royalty Trust,New York Stock Exchange,Energy,Oil & Gas - Refining & Marketing,,cs
BRC,Brady Corporation,New York Stock Exchange,Industrials,Consulting & Outsourcing,J. Michael Nauman,cs
